actor_eng,actor_kor,gender,birth
Jin Hyuk,"진혁
",0.0,"May 2, 1987"
Kim Yoo Han,김유한,0.0,"December 16, 1993"
Lee Jong Hyun,이종현,0.0,"May 15, 1990"
Lee Da Hae,이다해,1.0,"April 19, 1984"
Shim Hee Sub,심희섭,0.0,"February 26, 1986"
Jang Seo Kyung,장서경,1.0,"April 25, 1991"
Park Shi Yeon,박시연,1.0,"March 29, 1979"
Kim Lip,"김립
",1.0,"February 10, 1999"
Choerry,"최리
",1.0,"June 4, 2001"
JinSoul,"진솔
",1.0,"June 13, 1997"
Park Ji Sung,박지성,0.0,"January 17, 1994"
KB,신규빈,0.0,"April 23, 1992"
Son Seung Won,손승원,0.0,"June 29, 1990"
Jo Jae Hyun,조재현,0.0,"June 30, 1965"
Lee Seung Yub,이승엽,0.0,"October 23, 1994"
Park Moon Ah,박문아,1.0,"August 2, 1994"
Heo Yool,"허율
",1.0,"June 26, 2009"
No Seong Su,노성수,0.0,"October 24, 1991"
Ahn Shi Eun,안시은,1.0,"November 25, 1993"
Choi Hee Jin,최희진,1.0,"November 8, 1996"
Lee Ho Jung,이호정,1.0,"January 20, 1997"
Park Joong Hoon,박중훈,0.0,"March 21, 1966"
Jei,"재이
",1.0,"September 5, 1989"
Kim Kyung Hwan,김경환,0.0,"March 13, 1989"
Grace Subervi,김석원,0.0,"November 4, 1959"
Park Young Gyu,박영규,0.0,"October 28, 1953"
Park Hae Mi,박해미,1.0,"January 28, 1964"
Kwon Oh Jung,권오중,0.0,"November 24, 1971"
Han Young,한지영,1.0,"December 16, 1978"
Oh Dae Gyu,오대규,0.0,"February 16, 1968"
Kang Seo Joon,김준형,0.0,"August 2, 1986"
Ban So Young,반소영,1.0,"March 22, 1988"
